description,item,first_word,second_word,item_shorthand_desc,sentence_word_match,sentence_word_source,sentence_word_score,sentence_word_match_Q,sentence_word_source_Q,sentence_word_score_Q,shorthand_word_match,shorthand_word_source,shorthand_word_score,shorthand_word_match_Q,shorthand_word_source_Q,shorthand_word_score_Q,max_score,best_source,best_match
"Alcoholic drinks: beer, lager or cider",alcohol_beercider,alcohol,beercider,alcohol beercider,Low alcohol and alcohol free beer and lager,thanasis,73.93371463,Alcoholic soft drinks,thanasis,84.27097201,BEER IN GLASS,petersson,59.727633,Low alcohol and alcohol free cider and perry,thanasis,84.89539027,84.89539027,shorthand_word_score_Q,Low alcohol and alcohol free cider and perry
"Alcoholic drinks: other drinks (e.g. cream liqueurs, medium or high strength liqueurs)",alcohol_other,alcohol,other,alcohol other,Alcoholic soft drinks,thanasis,64.84913826,Liqueurs,thanasis,71.56324983,Wine,thanasis,64.84526396,Alcoholic soft drinks,thanasis,81.83436394,81.83436394,shorthand_word_score_Q,Alcoholic soft drinks
Alcoholic drinks: spirits,alcohol_spirits,alcohol,spirits,alcohol spirits,Alcoholic soft drinks,thanasis,71.41660452,Liqueurs,thanasis,77.03597546,Spirits,thanasis,76.85630918,Liqueurs,thanasis,91.26510024,91.26510024,shorthand_word_score_Q,Liqueurs
"Alcoholic drinks: sherry, port, fortified wine",alcohol_wine_fort,alcohol,wine,alcohol wine fort,Fortified wine,thanasis,74.28545952,Fortified wine,thanasis,81.78356886,Fortified wine,thanasis,68.22395325,Fortified wine total,eustachio,84.19793248,84.19793248,shorthand_word_score_Q,Fortified wine total
Alcoholic drinks: red wine,alcohol_wine_red_large,alcohol,wine,alcohol wine red large,WINE RED,petersson,83.65374207,Wine,thanasis,77.75062919,WINE RED,petersson,78.07750106,WINE RED,petersson,80.08794188,83.65374207,sentence_word_score,WINE RED
Alcoholic drinks: red wine,alcohol_wine_red_med,alcohol,wine,alcohol wine red med,WINE RED,petersson,83.65374207,Wine,thanasis,77.75062919,WINE RED,petersson,75.45053959,WINE RED,petersson,82.60097504,83.65374207,sentence_word_score,WINE RED
Alcoholic drinks: red wine,alcohol_wine_red_small,alcohol,wine,alcohol wine red small,WINE RED,petersson,83.65374207,Wine,thanasis,77.75062919,WINE RED,petersson,78.70189548,WINE RED,petersson,77.39560008,83.65374207,sentence_word_score,WINE RED
"Alcoholic drinks: rose wine, sparkling rose wine",alcohol_wine_rose_large,alcohol,wine,alcohol wine rose large,Alcoholic soft drinks,thanasis,64.22345042,Low alcohol and alcohol free wine,thanasis,74.80846047,WINE RED,petersson,60.41066051,WINE WHITE,petersson,75.67366958,75.67366958,shorthand_word_score_Q,WINE WHITE
"Alcoholic drinks: rose wine, sparkling rose wine",alcohol_wine_rose_med,alcohol,wine,alcohol wine rose med,Alcoholic soft drinks,thanasis,64.22345042,Low alcohol and alcohol free wine,thanasis,74.80846047,Wine,thanasis,62.79245019,Wine,thanasis,76.34916902,76.34916902,shorthand_word_score_Q,Wine
"Alcoholic drinks: rose wine, sparkling rose wine",alcohol_wine_rose_small,alcohol,wine,alcohol wine rose small,Alcoholic soft drinks,thanasis,64.22345042,Low alcohol and alcohol free wine,thanasis,74.80846047,Low alcohol and alcohol free wine,thanasis,61.41759157,Low alcohol and alcohol free wine,thanasis,72.06106782,74.80846047,sentence_word_score_Q,Low alcohol and alcohol free wine